Energy(eV),eps1,eps2,n,kappa,alpha(cm^-1)
9.644636684240411040e-02,2.049977831739185408e+18,1.698162234249061750e+15,1.431774487627281189e+09,5.930271313321170164e+05,5.797008818345221519e+09
1.037883950610505868e-01,2.051561821885799168e+18,1.884756704371241000e+15,1.432327565455676556e+09,6.579349409782094881e+05,6.921102371466039658e+09
1.111304232796970493e-01,2.053167559909692928e+18,2.108212752754157000e+15,1.432888028107212543e+09,7.356516041496817488e+05,8.286071576764964104e+09
1.184724514983435256e-01,2.055047866525037568e+18,2.375381938190086500e+15,1.433544053364585400e+09,8.284998053252637619e+05,9.948401666559652328e+09
1.258144797169900020e-01,2.056915764671665920e+18,2.693906863543420000e+15,1.434195470189488888e+09,9.391700502209383994e+05,1.197618197285458565e+10
1.331565079356364645e-01,2.059111676822776320e+18,3.072335796788452500e+15,1.434960913354803324e+09,1.070529436777896248e+06,1.444789366352158928e+10
1.404985361542829270e-01,2.061244789081449472e+18,3.520164996383292500e+15,1.435704110185131311e+09,1.225936796909204451e+06,1.745755447005117416e+10
1.478405643729294172e-01,2.063776282326799104e+18,4.047717500449634500e+15,1.436585628160811424e+09,1.408797854126701830e+06,2.110988264091286850e+10
1.551825925915758797e-01,2.066179088661406208e+18,4.666116474614145000e+15,1.437421901553967714e+09,1.623085215852821479e+06,2.552865009753437042e+10
1.625246208102223422e-01,2.069060460120278528e+18,5.438947136028990000e+15,1.438424149706679106e+09,1.890592262757890392e+06,3.114300843042671585e+10
1.698666490288688047e-01,2.071676582609754624e+18,6.292385879058113000e+15,1.439333651599711418e+09,2.185867700677238870e+06,3.763357863154116821e+10
1.772086772475152949e-01,2.074889996581670400e+18,7.278625945956970000e+15,1.440450061557036400e+09,2.526511032974920701e+06,4.537845533712052155e+10
1.845507054661617574e-01,2.077727998583973888e+18,8.411915990795335000e+15,1.441435573550407171e+09,2.917895237620432395e+06,5.457942179581629944e+10
1.918927336848082199e-01,2.081284343253577216e+18,9.707816953499504000e+15,1.442669630695377350e+09,3.364532234880801290e+06,6.543750753340908051e+10
1.992347619034547102e-01,2.084293849469026816e+18,1.118190572136580200e+16,1.443713561150036097e+09,3.872619203100661281e+06,7.820120325658013916e+10
2.065767901221011726e-01,2.088166632840563968e+18,1.284288240463460000e+16,1.445055839611970663e+09,4.443732225639164448e+06,9.304069192772799683e+10
2.139188183407476351e-01,2.091292661674107136e+18,1.470643855711472200e+16,1.446139175908463717e+09,5.084724486449978314e+06,1.102452641665436554e+11
2.212608465593940976e-01,2.095446707928410368e+18,1.678579002200955400e+16,1.447577398089922667e+09,5.797890338771163486e+06,1.300223742759438477e+11
2.286028747780405879e-01,2.098619406821742592e+18,1.908926806265307600e+16,1.448676228642282486e+09,6.588521191012137569e+06,1.526557475534776306e+11
2.359449029966870504e-01,2.103000247446653696e+18,2.162671941653822800e+16,1.450191658677068233e+09,7.456503865240867250e+06,1.783156138265137329e+11
2.432869312153335128e-01,2.106141161524262912e+18,2.440462703298040000e+16,1.451279385743333340e+09,8.407969985902661458e+06,2.073258519552645874e+11
2.506289594339800031e-01,2.110680931456220416e+18,2.742708074872169600e+16,1.452848934840517521e+09,9.439068333598183468e+06,2.397750039471534729e+11
2.579709876526264378e-01,2.113706107958766080e+18,3.069573369691696000e+16,1.453897363893656492e+09,1.055636197548378818e+07,2.760124459578818970e+11
2.653130158712729281e-01,2.118326881620325632e+18,3.420928764564872000e+16,1.455494756358277082e+09,1.175177289241142571e+07,3.160133806915868530e+11
2.726550440899194183e-01,2.121155217919512064e+18,3.796488950235039200e+16,1.456476941198800564e+09,1.303312411904620752e+07,3.601683890579940796e+11
2.799970723085658530e-01,2.125779660048325888e+18,4.195249610724420800e+16,1.458076343743080616e+09,1.438624811631774902e+07,4.082672675744371338e+11
2.873391005272123433e-01,2.128326518636585216e+18,4.619885767363165600e+16,1.458964425482157946e+09,1.583275673714871332e+07,4.610996501255681152e+11
2.946811287458588335e-01,2.132847476068014848e+18,5.063146829907635200e+16,1.460530012590764284e+09,1.733325158079510555e+07,5.176972892308286743e+11
3.020231569645052683e-01,2.135060886503639040e+18,5.526164642962393600e+16,1.461307089582265854e+09,1.890829341196841002e+07,5.788101008083630371e+11
3.093651851831517585e-01,2.139440342507526656e+18,6.007214972682301600e+16,1.462826695991942883e+09,2.053290040830432624e+07,6.438211871756148682e+11
3.167072134017982488e-01,2.141262386904600832e+18,6.511660891857581600e+16,1.463474402834975004e+09,2.224726609240137786e+07,7.141314013775285645e+11
3.240492416204446835e-01,2.145384388438866432e+18,7.025369168047583200e+16,1.464909339800276995e+09,2.397885308385603502e+07,7.875587153288674316e+11
3.313912698390911737e-01,2.146804269443343360e+18,7.551810075559531200e+16,1.465424235123430729e+09,2.576663431160973385e+07,8.654505987331866455e+11
3.387332980577376085e-01,2.150671695588307968e+18,8.089113487120643200e+16,1.466776072473956585e+09,2.757446633785451949e+07,9.466916190361473389e+11
3.460753262763840987e-01,2.151704259674316288e+18,8.635335444236140800e+16,1.467164035113686562e+09,2.942866386295701191e+07,1.032249561695557739e+12
3.534173544950305890e-01,2.155297926133156608e+18,9.188814988623144000e+16,1.468426662310929060e+09,3.128796018373329565e+07,1.120749742049260986e+12
3.607593827136770237e-01,2.155971252560758528e+18,9.748048229303454400e+16,1.468697574424338102e+09,3.318602957836227864e+07,1.213434830338628906e+12
3.681014109323235139e-01,2.159301514887309056e+18,1.031185463575060480e+17,1.469874801973018169e+09,3.507732298665540665e+07,1.308692005621719238e+12
3.754434391509700042e-01,2.159658510808486400e+18,1.087915401269583680e+17,1.470043441658208609e+09,3.700283170007570833e+07,1.408065979419208984e+12
3.827854673696164389e-01,2.162754850737618432e+18,1.144936728387791520e+17,1.471145499373409033e+09,3.891310305049403012e+07,1.509714516731701172e+12
3.901274955882629292e-01,2.162844545900634880e+18,1.202228945147960800e+17,1.471228711386328459e+09,4.085798951051957905e+07,1.615574828660052246e+12
3.974695238069094194e-01,2.165747302046454528e+18,1.259783989347662240e+17,1.472269591636560202e+09,4.278374003321317583e+07,1.723558810712811523e+12
4.048115520255558542e-01,2.165612759322740736e+18,1.317650432546633440e+17,1.472282307663250208e+09,4.474856573662079126e+07,1.836012117115872559e+12
4.121535802442023444e-01,2.168363721098557184e+18,1.375896951314095840e+17,1.473276673397369385e+09,4.669513120510137081e+07,1.950626870502051514e+12
4.194956084628488346e-01,2.168032228938984704e+18,1.434625597439397760e+17,1.473228743268409491e+09,4.868984548375827074e+07,2.070185873431407227e+12
4.268376366814952694e-01,2.170662966961986560e+18,1.493960625846771200e+17,1.474188074572805882e+09,5.067062512629896402e+07,2.192110763666815430e+12
4.341796649001417596e-01,2.170137491141973504e+18,1.554044432253050560e+17,1.474081435208275795e+09,5.271229916932920367e+07,2.319663367899015137e+12
4.415216931187881944e-01,2.172659788276209408e+18,1.615031229807090880e+17,1.475010833416940689e+09,5.474641925394485891e+07,2.449916547624719238e+12
4.488637213374346846e-01,2.171914018923874560e+18,1.677080240917816640e+17,1.474837846119705915e+09,5.685642816022828221e+07,2.586649619042355469e+12
4.562057495560811748e-01,2.174312612483502336e+18,1.740348659738173120e+17,1.475733562644687414e+09,5.896554445164436847e+07,2.726481736903210938e+12
4.635477777747276096e-01,2.173289737882788352e+18,1.804984609845034240e+17,1.475476545622628927e+09,6.116615730693855137e+07,2.873751602140509766e+12
4.708898059933740998e-01,2.175518213842208256e+18,1.871120314175445440e+17,1.476324518865250349e+09,6.337090152826421708e+07,3.024493809725933594e+12
4.782318342120205901e-01,2.174133368930933760e+18,1.938865677426588480e+17,1.475956452824387312e+09,6.568166945970457047e+07,3.183656406838564453e+12
4.855738624306670248e-01,2.176113512142223616e+18,2.008303920319073280e+17,1.476731957670747280e+09,6.799825485888366401e+07,3.346544420205495605e+12
4.929158906493135150e-01,2.174259031235522304e+18,2.079480553353333440e+17,1.476218072222416401e+09,7.043270206761220098e+07,3.518768493893523926e+12
5.002579188679600053e-01,2.175883185193610496e+18,2.152406608049028800e+17,1.476886314195365906e+09,7.286974587552098930e+07,3.694747404294209961e+12
5.075999470866064955e-01,2.173436469136372480e+18,2.227049728076664640e+17,1.476186484237168550e+09,7.543253348602184653e+07,3.880822575853594238e+12
5.149419753052528748e-01,2.174572496872568064e+18,2.303331637328251200e+17,1.476704023045499802e+09,7.798894028127382696e+07,4.070378910327666504e+12
5.222840035238993650e-01,2.171404486506092288e+18,2.381122914161760960e+17,1.475775294753292084e+09,8.067362702937132120e+07,4.270530551011046875e+12
5.296260317425458553e-01,2.171902437864092928e+18,2.460250421197659520e+17,1.476091945289113283e+09,8.333662510148660839e+07,4.473513553557200195e+12
5.369680599611923455e-01,2.167887264704657152e+18,2.540478755311409600e+17,1.474891404030900002e+09,8.612426475495935977e+07,4.687243405006988281e+12
