Energy(eV),OscStrength
1.746565795000731169e+00,1.150985820105536165e-07
1.746776084917075256e+00,4.573260989103425189e-08
1.751808635352276600e+00,1.398916002397932570e-06
1.754328360490601035e+00,1.286714393790448512e-05
1.761308162547808642e+00,1.866682304839385117e-06
1.765028099672034889e+00,3.818612902299458045e-01
1.788523150375212811e+00,3.618871145736275545e-03
1.793648971184005569e+00,6.140689157248200854e-05
1.795652665166500350e+00,1.273479830588047012e-04
1.798212654014011536e+00,6.818621713167462013e-05
1.798943004074136987e+00,1.043849499453825642e-04
1.799131664913543815e+00,5.616251547984207830e-06
1.799188351105897921e+00,5.100756786207983101e-06
1.801448382715093555e+00,9.657159069627762498e-05
1.805340119310245184e+00,7.203311106344710621e-06
1.808662796443833320e+00,1.718597279958273281e-06
1.819782972111391173e+00,3.102191338172482766e-04
1.820392579043687453e+00,7.944325073198297811e-05
1.821432004989294917e+00,2.497748804362975891e-06
1.824280339309987786e+00,1.176895613169643695e-05
1.824724889912424430e+00,1.581369859447266480e-06
1.830954925423270208e+00,1.510187366401577122e-03
1.841975991177774663e+00,5.622130219873892236e-04
1.843422212165277241e+00,1.496570216260482901e-04
1.861894923986445738e+00,1.030002642885576014e-05
1.864904965031503270e+00,1.852539637164706357e-04
1.865540461144960860e+00,1.499879476157047354e-04
1.868343680468390611e+00,9.762017661921742410e-05
1.869025942778142602e+00,2.431934872396149749e-04
1.871531466356099349e+00,5.609616914992745601e-05
1.871716859431265201e+00,1.547903583192104034e-04
1.872890755588534573e+00,7.882405922880155369e-05
1.875686367947624777e+00,3.942721667038631792e-05
1.881746516490177434e+00,1.621052203576084372e-03
1.882275150874818559e+00,7.389896079787998222e-03
1.889377711345485267e+00,9.101305592262276512e-05
1.891687309893350433e+00,9.667571900426028301e-05
1.899344476237861956e+00,1.713266999405702474e-03
1.910272867332984514e+00,2.781170396165500922e-04
1.912465932773869337e+00,6.354178225488664672e-04
1.943476479494579134e+00,7.410839245187849852e-03
1.960726285454062356e+00,1.171479943808200838e-06
1.963151905512956930e+00,2.116400523514902504e-06
1.986033382322699659e+00,3.700245722175506606e-07
1.993465477006291398e+00,5.069785121494319209e-03
2.001275362319488327e+00,3.671166450062897987e-03
2.004797181552193219e+00,4.218540958056094480e-05
2.007189432780648985e+00,6.058612977424811610e-05
2.007860153620100618e+00,6.653882185633479686e-05
2.007998840101087534e+00,5.884483366765254049e-04
2.010523416138866537e+00,1.650098919377900161e-04
2.028272187264140047e+00,1.845790296636014294e-03
2.030113688514778136e+00,5.432488863677192528e-05
2.030527226464173829e+00,6.060207543541936082e-08
2.032538641544292979e+00,2.071333154927058843e-05
2.032974102157821594e+00,3.457002958111331399e-07
2.048965856687427145e+00,1.429291734595113913e-07
2.049021561243602019e+00,7.513583630012624158e-05
2.049265605797856438e+00,5.285297183016941514e-01
2.071329721514012956e+00,1.809309059248753216e-07
2.074895657068120514e+00,1.209321612012690897e-05
2.077306526449870905e+00,1.881097005843688985e-06
2.077330267275496745e+00,6.722407969254928336e-07
2.079787621065106951e+00,3.834577037425104787e-06
2.093457544640234591e+00,1.297509470983093814e-08
2.093513190613297770e+00,3.045374553296296794e-08
2.095904102382703638e+00,3.622654356277334286e-08
2.095959720990502984e+00,6.410394076034978933e-08
2.097449536091471334e+00,1.629401457881714743e-04
2.099529112097138661e+00,6.426439950135795932e-05
2.107232036374019568e+00,1.043714920173633147e-04
2.115818300701299837e+00,2.419103349528624905e-05
2.118275594394047889e+00,4.049456759663987068e-05
2.123690426773158446e+00,2.308564139664611944e-04
2.125972891435957468e+00,3.706165529238098096e-04
2.127670386691017157e+00,7.587809959810569828e-04
2.132568619100769780e+00,3.005692898391101523e-06
2.133411788092943961e+00,2.514820212135452862e-05
2.134074808212981011e+00,4.590564851297385023e-06
2.163110309640470241e+00,7.439617626362317326e-02
2.165369044236542528e+00,7.118178444757201906e-02
2.167041378848016286e+00,1.318924555430350809e-02
2.169392304462863574e+00,5.335421595303545522e-04
2.174020320764471048e+00,8.740295425462635476e-05
2.176924002692536497e+00,1.809717074400109425e-05
2.178420231482773861e+00,2.386778932056560604e-06
2.179344662086339035e+00,4.267172532132333102e-06
2.180850317393346671e+00,2.906282670891955307e-05
2.181310526776433001e+00,3.708192571335604800e-06
2.183906324630719542e+00,3.752339258203748221e-05
2.192897628070745064e+00,6.394086086368594728e-05
2.195499282658259332e+00,3.692481349168158047e-08
2.195554920413409938e+00,5.834994761304816491e-08
2.196273303602170657e+00,1.188165707210754834e-04
2.197005520567972603e+00,2.660257144275097285e-07
2.197061148414922727e+00,3.769091265019935575e-07
2.200426983487016930e+00,4.204359819931776732e-04
2.216188629598304427e+00,3.824891510083239798e-01
2.217873867627278006e+00,5.114293946859500319e-03
2.219336265046400580e+00,2.752262756020853237e-03
2.222280333607193903e+00,4.002108398626841868e-01
2.225990136238507500e+00,3.601408976091919917e-03
2.228422821623600392e+00,6.892832883963741176e-04
2.228561223848521511e+00,5.918339939825985373e-04
2.231025659931088700e+00,1.274141108185115282e-03
2.281162843725059286e+00,1.028270576810499015e-04
2.293490489032128821e+00,1.216765731946136591e-03
2.303880281279342412e+00,8.091965514902706418e-04
2.320200662367409183e+00,2.632082921649390728e-01
2.324639846024774137e+00,4.311246205108139051e-01
2.326799601308572996e+00,1.188734302555879453e-02
2.327992982585465498e+00,2.741374932411578592e-04
2.329178507470996973e+00,8.676824521614034166e-04
2.329507086713855202e+00,1.457676468510537421e-03
2.330573870117897517e+00,1.192676198991897982e-03
2.330888430342550333e+00,2.071730234192779019e-01
2.332065315466723909e+00,5.439267087107588217e-02
2.332135649453640713e+00,4.651842971997015991e-02
2.428857408244527338e+00,4.278967690569490754e-04
2.430368601005761242e+00,4.613303835466814242e-04
2.448783688927188784e+00,1.092479609786257133e-01
2.449819016006455463e+00,2.144321810219702341e-03
2.458056625021995512e+00,1.118786943819378293e-01
2.459206294406647508e+00,1.483618395567820429e-02
2.463771360695355295e+00,7.003889402655336970e-06
2.466097778103683247e+00,3.267521122961145457e-06
2.492123901734274671e+00,7.129783024204820220e-03
2.494550046766387030e+00,5.437717490445737045e-02
2.495449169781558840e+00,1.040570924580337814e-01
2.496127255811116719e+00,3.409980264426135240e-04
2.508218424510238354e+00,1.001303583916338666e-04
2.510480638731325431e+00,1.285397460192105694e-04
2.510583615771450727e+00,1.586065038561804846e-04
2.512727790082972756e+00,1.908964129341463609e-06
2.512784012615181695e+00,1.730726958706030777e-07
2.512962686870466644e+00,1.402944448711513465e-04
2.526701156239348656e+00,3.514498602970577456e-07
2.526757049644077213e+00,2.867368270152485151e-07
2.529028127086820454e+00,3.199811562928240496e-07
2.529083520654644257e+00,4.698733645762823978e-07
2.535075388140929142e+00,1.587758862254247235e-06
2.549106545638452737e+00,2.436426185023124859e-05
2.551439052726669487e+00,1.468559387389882113e-05
2.581552115548230830e+00,2.238682006006651171e-07
2.586424223279887080e+00,2.024324951886914594e-04
2.587603474551799732e+00,2.190886126513420795e-04
2.602614631518666677e+00,5.827353802899311841e-07
2.625857827353908380e+00,2.959188758193748433e-05
2.628272781763005383e+00,5.613752661053808248e-05
2.644482134826063202e+00,1.538182006514672992e-06
2.644537935694779573e+00,3.493974495396928684e-07
2.644842353262434553e+00,1.299056645054740130e-03
2.646907324779165016e+00,1.186258194255549131e-04
2.647523279932657569e+00,4.663107326233513071e-04
2.649333263316665743e+00,1.207143345609710188e-04
2.659260409778151146e+00,2.078557586993323985e-05
2.661663171090807190e+00,1.055228506201590641e-04
2.661952684957593629e+00,1.556161198851763259e-04
2.664188362992843118e+00,5.571186039572497187e-05
2.665543997884203264e+00,3.276863991127730716e-07
2.665599665676918750e+00,1.204808124714288191e-06
2.666845383887730403e+00,8.660366191165624742e-05
2.669479593782468463e+00,1.227459882746813336e-01
2.687905332889304777e+00,8.972448557136487879e-05
2.701387256876043530e+00,1.831615095576771608e-06
2.702020752598519149e+00,3.703960050788785026e-05
2.703201885895039958e+00,2.694745312409426769e-05
2.730955116078014111e+00,1.739672967169555717e-01
2.745210648984000024e+00,1.139812286184069311e-03
2.745401507168733879e+00,1.348619013043164813e-04
2.745739388109383672e+00,2.335972675597017094e-04
2.748161224147547710e+00,3.922506028375131646e-04
2.748724800050982076e+00,1.603240420998407764e-04
2.755738447836161509e+00,1.786712960807093076e-01
2.759123343757351243e+00,6.836395590327190019e-01
2.760326566711698515e+00,2.241338030761905187e-02
2.762514414014110908e+00,8.095594734635136805e-03
2.764317871838361640e+00,1.346649436766430480e-06
2.764373468112276466e+00,2.196162460883056911e-07
2.775318436949465006e+00,3.865190523146732677e-05
2.775536429023250040e+00,6.093856293293322388e-05
2.776504394786929009e+00,5.161548487490745675e-05
2.776707368038195511e+00,3.440590490859645346e-05
2.777005886438052684e+00,3.867284507653414227e-04
2.779592586089617345e+00,1.293063685745323484e-03
2.786672278977234019e+00,1.089342204732861808e-05
2.790060786059233688e+00,5.524676823073452342e-04
2.792377219838543478e+00,1.461259706564269946e-04
2.793616536602213429e+00,1.052581825564707875e-03
2.795987750199974364e+00,1.481788849855782044e-03
2.798040154597099427e+00,3.454466678576295093e-04
2.800648467046802814e+00,1.016656547102846403e-04
2.808334081667084536e+00,6.835649094469266719e-08
2.808389672513209145e+00,5.511919799813270894e-07
2.811663527885522651e+00,7.815913835988236404e-07
2.811719452837803779e+00,2.076953395630288446e-06
2.820170762851833768e+00,3.923680686755376194e-06
2.829143918452299733e+00,9.408319832928209447e-02
2.830178368754958207e+00,1.073733113980762793e-01
2.831007125933998392e+00,8.473779823128115007e-03
2.832052258334456507e+00,1.805298871324638801e-02
2.832618100110320558e+00,1.251688211154179491e-02
2.834337748842647109e+00,3.248858405421533885e-03
2.854711762349255277e+00,3.999845682039880335e-01
2.878016466784190541e+00,9.858609591000535785e-04
2.884370899815572820e+00,3.453382598582019347e-01
2.896924453734780691e+00,1.909662456103362828e-04
2.899051973348770517e+00,4.207168129554169321e-03
2.899511121672071479e+00,5.553606846190916376e-04
2.900924446515646515e+00,1.360980729698347269e-01
2.940848527071529439e+00,2.936309361579756829e-05
2.943458959513975071e+00,1.299680073284111795e-04
2.944161820966611387e+00,3.191926778196099045e-05
2.946706535657935166e+00,1.138366072018499972e-04
2.997535534569179205e+00,7.002884176376697554e-04
3.041767061343314982e+00,3.413019745643653801e-03
3.045119775838324827e+00,1.781863160116433156e-02
3.046862241732006815e+00,1.428662301878753146e-03
3.051282345040800426e+00,6.593485613691595359e-01
3.073314378086698717e+00,2.660619201103031132e-05
3.090446271801766454e+00,1.935321068298859540e-02
3.095175699418038384e+00,2.674955380660065446e-04
3.105715091019426222e+00,3.766983290333995177e-02
3.108594306430931375e+00,2.128643618479993723e-03
3.109798815527689886e+00,1.803998978788679900e-06
3.109898159558512454e+00,4.178750460133014654e-04
3.121134870290210195e+00,1.861157342289705479e-03
3.124565608023866403e+00,2.366856621558615162e-02
3.134065306833027087e+00,2.623513756970166514e-04
3.136256626207329479e+00,5.038206654818583751e-06
3.136322025603331287e+00,4.255277997390084359e-05
3.158952663569681185e+00,9.283554263318697481e-05
3.190180991699106183e+00,5.907976378531393409e-03
3.191505702713445913e+00,8.002173749224471971e-03
3.219597583949074249e+00,1.141267252099084977e-12
3.224032768156540385e+00,1.831649437471993694e-06
3.242880976640725610e+00,4.015835064914410905e-06
3.246605049601438697e+00,6.050317820624970255e-04
3.269405838540225595e+00,3.212532240896216642e-04
